month,AVG(price)
1,34639.163696
2,37887.262500
3,44587.799891
4,35245.018500
5,29674.742258
6,26080.424333
7,25626.085500
8,25049.232667
9,23012.441356
10,24625.337742
11,26933.463729
12,29693.334194
