date,whale_volume,Price
2023-11-16,60945.25655674,36934.29
2023-11-17,19173.32168812,36360.79
2023-11-20,24400.13749385,37296.13
2023-11-21,34926.70217988,37172.42
2023-11-23,21479.990111519997,37324.83
2023-11-24,23550.01611337,37652.71
2023-11-25,26686.92849364,37766.50
2023-11-27,92502.22150133,37179.29
2023-11-28,8519.4284637,37435.79
2023-11-29,23373.77328452,37950.13
2023-11-30,61272.45096896999,37782.29
2023-12-01,10559.9981664,38413.83
2023-12-03,30843.945253520003,39557.67
2023-12-04,42786.752437150004,41442.04
2023-12-05,123665.31727846,42384.38
2023-12-06,92480.74813627,43876.25
2023-12-07,54571.177109050004,43569.48
2023-12-08,37650.789984920004,43681.21
2023-12-09,10319.9935,44046.33
2023-12-10,9279.9935,43826.96
2023-12-11,108680.24517085002,41913.25
2023-12-12,64904.092876869996,41541.67
2023-12-13,4119.23240411,41608.17
2023-12-14,34492.48504834,42855.79
2023-12-15,12316.49272433,42486.50
2023-12-16,51001.6918516,42263.75
2023-12-18,9999.99551547,41385.54
2023-12-19,27289.17759753,42695.88
2023-12-20,13032.36382127,43179.46
2023-12-21,26260.21224946,43733.54
2023-12-22,63788.40075496001,43814.52
2023-12-23,7997.9984023100005,43698.34
2023-12-24,29617.9975503,43633.36
2023-12-26,130464.3309373,42685.80
2023-12-27,119551.92672460001,42827.38
2023-12-28,7953.07189893,42949.33
2023-12-29,90927.06635755,42416.63
2023-12-30,17713.33893192,42125.17
2023-12-31,121062.33492549998,42440.50
2024-01-01,29006.471436159998,42787.21
2024-01-03,10778.2510237,43955.83
2024-01-04,54235.24539446,43508.46
2024-01-06,39549.607996549996,43841.54
2024-01-09,23011.7578001,46673.67
2024-01-10,31927.657234999995,45782.95
2024-01-11,63332.83749122001,46563.88
2024-01-12,217456.14162075994,45067.46
2024-01-14,15715.628943200001,42742.88
2024-01-15,9713.851084220001,42618.63
2024-01-16,168953.19154273003,42925.13
2024-01-17,80518.02970911,42708.14
2024-01-18,98043.60693164001,42231.96
2024-01-19,97480.7981714,41255.58
2024-01-20,30547.40998334,41596.92
2024-01-21,30442.4120395,41672.75
2024-01-22,62341.37857256001,40699.92
2024-01-23,88960.14677147,39415.29
2024-01-24,84260.0949947,39896.71
2024-01-25,56220.5966225,39953.38
2024-01-26,72467.54813205,40913.13
2024-01-28,30874.05254202,42238.17
2024-01-29,87759.86804945,42494.96
2024-01-30,131195.50704844002,43430.29
2024-01-31,258140.81724643998,42901.96
2024-02-02,33048.75714568,43049.79
2024-02-04,12021.286729700001,42868.42
2024-02-05,36346.154670150005,42738.54
2024-02-06,69486.54723291,42935.38
2024-02-07,19763.141452379998,43253.54
2024-02-08,19764.847619480002,44889.50
2024-02-09,40457.23670615,46737.42
2024-02-11,14168.01038362,48145.75
2024-02-12,52080.083478860004,48760.67
2024-02-13,46907.32729297,49605.42
2024-02-14,296512.38982971996,50838.04
2024-02-15,72437.33851633001,52098.63
2024-02-16,50866.33834105999,52049.46
2024-02-17,20407.54398822,51637.21
2024-02-19,83200.61278373,52140.33
2024-02-20,48603.89372642,51835.92
2024-02-21,42368.06376980001,51472.13
2024-02-22,61591.80731044,51555.63
2024-02-23,66739.45198258,51082.13
2024-02-24,42790.02856686,51146.29
2024-02-26,50947.27314428,52320.08
2024-02-27,99280.25239105,56508.21
2024-02-28,62558.16855385,59293.13
2024-02-29,117975.32173347998,62104.92
2024-03-01,131056.15270331,61918.58
2024-03-03,15362.80500787,62220.13
2024-03-04,65427.350179780005,65263.17
2024-03-05,58184.023158590004,66246.04
2024-03-06,344053.08102058,66004.84
2024-03-07,153888.51778274,66825.84
2024-03-08,133978.79217313,67738.41
2024-03-09,8194.93248603,68380.79
2024-03-11,36331.99638929,71044.34
2024-03-12,118248.51786143,71620.16
2024-03-13,135005.30220747998,72737.71
2024-03-14,81482.53135998,72230.84
2024-03-15,110775.73007525002,68519.75
2024-03-17,75747.86283737,67015.04
2024-03-18,75152.50672116,67717.79
2024-03-19,69292.03802458,64262.29
2024-03-20,45268.12186584,63856.25
2024-03-21,45968.281954260005,66688.41
2024-03-22,104478.17461913002,64642.96
2024-03-23,376041.08569598,64559.96
2024-03-24,36302.911419000004,65216.46
2024-03-25,20880.00723894,68398.35
2024-03-26,119430.61796993001,70340.13
2024-03-27,37443.53353635,69778.41
2024-03-28,77744.55213317,70390.38
2024-03-29,30888.61305502,70047.84
2024-03-30,39798.64750038,69993.38
2024-03-31,33797.836063149996,70440.38
