Address,Type,Time,Tx_id,BTC value,New_column
bc1qsglskh8r5aplgfzyt5huzqfgaqrgh8nf8ss669,Received,18/04/2024,f1affa429e4136fee826ccbfe1099180c133a0a10c36b5f3d47e7b58315962f6,10318.9922,
bc1q5ga79ygwhtrmwsle3l9jk0l8w7882n4scg6lkf,Sent,18/04/2024,512375ed1b0053b804d4b1c02d331c8f71d9626e0f275a39d1e322db7201ada5,12318.99261,
bc1q64l3y32lkgjt9czutff32xzfq76etwlep90rl8,Received,18/04/2024,512375ed1b0053b804d4b1c02d331c8f71d9626e0f275a39d1e322db7201ada5,11318.99241,
bc1qwhyxc9ksvapfl9u6sr6uxjl92qj25zc608zefj,Sent,18/04/2024,82248ab2a37da125f5cf1e2271f4eba2b28b08988f78e99c0387ad525477fac2,12318.99501,
bc1qgmd77xu37zjc886w7fa6j87r8dhjcmtlrlqgx2,Sent,18/04/2024,d169c271092a89dd695f03fc56cf8dc34dc84dfbc883395e79da05c9da0f143e,12318.99381,
bc1qgmd77xu37zjc886w7fa6j87r8dhjcmtlrlqgx2,Received,18/04/2024,82248ab2a37da125f5cf1e2271f4eba2b28b08988f78e99c0387ad525477fac2,12318.99381,
bc1q5ga79ygwhtrmwsle3l9jk0l8w7882n4scg6lkf,Received,18/04/2024,d169c271092a89dd695f03fc56cf8dc34dc84dfbc883395e79da05c9da0f143e,12318.99261,
bc1q4eff6hv5m6696myzm7chn3fhp4x6qv95crfv5q,Sent,18/04/2024,0b27569bf96a4724dc0029d7b88170157f253fd5b33bd51e54e6f9f7a0eef4f4,5565.939804,
bc1qz08fkkd73u7yc73dc6gxap49tn042d8wzrtdh9,Received,18/04/2024,0b27569bf96a4724dc0029d7b88170157f253fd5b33bd51e54e6f9f7a0eef4f4,5563.320448,
1PK4mvJvzpYPwPgoocTyp1zuJMu9JQW2LU,Sent,18/04/2024,90910039063cd095dd0d1ce79c8a4bf7f440c6a190974785bf9ee7a97475ffe3,5919.168696,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,18/04/2024,90910039063cd095dd0d1ce79c8a4bf7f440c6a190974785bf9ee7a97475ffe3,5919.158696,
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,Sent,18/04/2024,3c5fcd94a92a3a6b8f6c81c9ac1256d384ed9d2c4f2f620d849a3348f7239726,19248.99906,
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,Received,18/04/2024,3c5fcd94a92a3a6b8f6c81c9ac1256d384ed9d2c4f2f620d849a3348f7239726,19248.993,
16prj8PEYNS4VbweYXUZkZUs3CbrNQ3uGP,Sent,18/04/2024,3910511f835cb569dc954a9ea989c114e8c8f50e998cd3f6a358c4fa33a0bbf1,16276.99283,
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,Received,18/04/2024,3910511f835cb569dc954a9ea989c114e8c8f50e998cd3f6a358c4fa33a0bbf1,16276.99275,
1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD,Sent,18/04/2024,2d309a604de05f8ade5ca96b6a9842f93b4920415369f25e50708452c800cd21,16276.99379,
16prj8PEYNS4VbweYXUZkZUs3CbrNQ3uGP,Received,18/04/2024,2d309a604de05f8ade5ca96b6a9842f93b4920415369f25e50708452c800cd21,16276.99283,
1PqTdEMRkWCBg41wxSZMnTVddbrpJWa7LQ,Sent,17/04/2024,da753e30ce3d825fa0040cd0fb65fa3599ddfdf725ec211ce2b3dcedd2af0dc8,7979.522114,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,17/04/2024,da753e30ce3d825fa0040cd0fb65fa3599ddfdf725ec211ce2b3dcedd2af0dc8,7979.512114,
1MXNQdJg2hoCJijB3t6qEwvBUYf68KV3jV,Sent,17/04/2024,ec2276099f3c2e1acacf76bd0e4d4ec58eadb8140b63427d12f315b9e8333a02,7101.768979,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,17/04/2024,ec2276099f3c2e1acacf76bd0e4d4ec58eadb8140b63427d12f315b9e8333a02,7101.758979,
14jRPXLNnEyZzMVwJLUAFHWyXkffdsvZCD,Sent,16/04/2024,c9d0b7d383d5fd0cfc8df0295d0e3d7be5228757eaa49e837b769482e2870398,5659.385352,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,16/04/2024,c9d0b7d383d5fd0cfc8df0295d0e3d7be5228757eaa49e837b769482e2870398,5659.375352,
158jWzVv9kdj2UvbPmvUdSJTsjC87884ne,Sent,16/04/2024,cdee906a89cba69e8077db010e7afff19b49e996b63fc3174244e2b685fab2d6,6545.784101,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,16/04/2024,cdee906a89cba69e8077db010e7afff19b49e996b63fc3174244e2b685fab2d6,6545.774101,
1HF974pvUZTffpcqbqWvVMvQhpSqDDUhzz,Sent,16/04/2024,aae52e9cdefa6cd8e4cb920667ac3b10f5f656b94763dc1467898f50f4103d88,7999.982973,
15mxk4fKk9ggQ4fikNWKpasahsdXZNdVu2,Sent,16/04/2024,61f8549944ab35beef578393949d0a134706925c61d3e0cadb1319b5dfebd474,8000.000146,
1HF974pvUZTffpcqbqWvVMvQhpSqDDUhzz,Received,16/04/2024,61f8549944ab35beef578393949d0a134706925c61d3e0cadb1319b5dfebd474,7999.982973,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,16/04/2024,0df3a61a75c0f8176855780b5eeb71a013cbd461a1a7c71efbb677ca8a17581d,4067.685102,
33n5qKQ9JpK1m4HrWkwmKiJ61sirtYGncn,Sent,16/04/2024,0df3a61a75c0f8176855780b5eeb71a013cbd461a1a7c71efbb677ca8a17581d,3900,
33n5qKQ9JpK1m4HrWkwmKiJ61sirtYGncn,Received,16/04/2024,25861c2132bbb83655fc3a0017419219cfd352374bd334198a94da5a3c97d6f4,3900,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,16/04/2024,98f13369467f7f8d15abd1fe5b07453c986748d5bafc5afb27f378abe6ce0cd5,4062.235259,
1Eob1DPgy6BK72pvT7jyexVjkV9TLXZifa,Sent,16/04/2024,8f081faaf5f648a10763e2129c890524bd8c5601894dcac7aa69c715ab390c0e,7690.543295,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,16/04/2024,8f081faaf5f648a10763e2129c890524bd8c5601894dcac7aa69c715ab390c0e,7690.533295,
17zedtaEvkWxyj3UkD7aSN9Hp715WsJK7U,Sent,15/04/2024,bede0a12e9043b7365f4aa8a302288a42660151bc9978cb11e7fabdf2a258892,5345.469408,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,15/04/2024,bede0a12e9043b7365f4aa8a302288a42660151bc9978cb11e7fabdf2a258892,5345.459408,
1BHJMEgDYdGeJutAnp3iEhctHpwzm4TQAG,Sent,15/04/2024,f6b16560abf0893c3101a6029f3d5361a80060a8c63180db8cfb2c1cce0e05a8,4384.981139,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,15/04/2024,f6b16560abf0893c3101a6029f3d5361a80060a8c63180db8cfb2c1cce0e05a8,4384.971139,
1LQLQAT9prBNwHVwyKEMBV6MYYs4z5X8Sf,Sent,15/04/2024,7feb782c7d554753453a19a762802cfbf63d8fa99854ddcefacd8516ba106571,3706.490619,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,15/04/2024,0c01672e803de7859f3bd11dcdf66c2aa89f8c88ac18cf449d8c8f89a54840a4,3731.569593,
bc1qx7fld7px0z6ya6whlm4f0dnlk863vjf3jatzcy,Sent,15/04/2024,2432a5515f744b19a8ff63c7e99a9e25cccedbb34afb854e9be313f103a038ad,15843.25665,
bc1qe622t4e94c5jkmrhm7vrrnfehyqymu3jeqfxry,Received,15/04/2024,2432a5515f744b19a8ff63c7e99a9e25cccedbb34afb854e9be313f103a038ad,15193.25534,
3Qqu8mjhqXTaAvguYTfkAUuTu3UbTHXaKT,Sent,15/04/2024,ae93c92813a3429b769c6392cbc6c77cba38ffb38c59051bd135d47a3e8b1faf,4299.997341,
1Fz31GL45J3r1PkBG3b4v89AvbPaQNnH1n,Sent,14/04/2024,d4df734a1ba7ff87a830c1c807ba7f989c2776bff8d39aee820289f4b5687d78,4263.188136,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,14/04/2024,d4df734a1ba7ff87a830c1c807ba7f989c2776bff8d39aee820289f4b5687d78,4263.178136,
bc1qjawl2hed7dkdcc5449zd30wgrvaedc79ljga8v,Sent,13/04/2024,7d116abc2e2f47ff407b69188f19d17b1a9c65dc3fc3f3637be18c8943614783,15807.57665,
bc1qx7fld7px0z6ya6whlm4f0dnlk863vjf3jatzcy,Received,13/04/2024,7d116abc2e2f47ff407b69188f19d17b1a9c65dc3fc3f3637be18c8943614783,15707.57571,
1ECRkgZ1epRh6AtErA9VGkEhE6BKVy2z2H,Sent,12/04/2024,14d93001990874014e3b8fe6ddf2663adf2975352a26c18449073bf45531e806,6361.430985,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,12/04/2024,14d93001990874014e3b8fe6ddf2663adf2975352a26c18449073bf45531e806,6361.420985,
3DR2iGGQCUhShGhjTqShLAYEqxzAfY8pvZ,Sent,12/04/2024,6f2bfb436d3f698d8947978a391f75e01fef4429aae763c52ccf7612ad1659d7,5000,
3Qqu8mjhqXTaAvguYTfkAUuTu3UbTHXaKT,Received,12/04/2024,6f2bfb436d3f698d8947978a391f75e01fef4429aae763c52ccf7612ad1659d7,4299.997341,
