date,total_volume
2023-06-27,5430.00000001
2023-06-28,4430.00000001
2023-06-28,4430.00034321
2023-06-28,4432.98594319
2023-06-28,4999.99889222
2023-06-28,5000.00039222
2023-06-28,6343.62652779
2023-06-28,6343.62802779
2023-06-28,7194.62943085
2023-06-28,8844.62952779
2023-06-29,4280.95994241
2023-06-29,4295
2023-06-29,4660.35184432
2023-06-29,5499.99966574
2023-06-29,7268.35735547
2023-06-29,8000
2023-06-30,3695
2023-06-30,3695.0003828
2023-06-30,3899.99968062
2023-06-30,3999.89995684
2023-06-30,4000
2023-06-30,5419.9991672
2023-06-30,5449.99955
2023-06-30,6774.63955053
2023-06-30,6825
2023-07-01,5281.44212123
2023-07-01,5296.78771904
2023-07-01,10339.90513471
2023-07-01,10339.90754474
2023-07-01,11344.84628786
2023-07-01,11344.84877059
2023-07-03,5292.2
2023-07-03,5292.200075
2023-07-04,5633.64511165
2023-07-04,5639.16789526
2023-07-05,6798.46558202
2023-07-05,6811.96579322
2023-07-06,6411.19012362
2023-07-06,6411.19107965
2023-07-06,7363.23166043
2023-07-06,7863.23204539
2023-07-06,8070.14467297
2023-07-06,8678.14595547
2023-07-07,7520.14574427
2023-07-07,8070.14595547
2023-07-10,3900.82882381
2023-07-10,5729.15247088
2023-07-10,5732.06329603
2023-07-11,3837.17405867
2023-07-11,4859.99685
2023-07-11,4999.99698948
2023-07-11,7143.11575054
2023-07-11,7737.04595547
2023-07-12,6870.53565739
2023-07-12,7444.30595547
2023-07-12,8200
2023-07-12,8999.90799037
2023-07-13,3837.1740198
2023-07-13,3837.174033
2023-07-13,3838.17405867
2023-07-13,5499.99966574
2023-07-14,4199.99982972
2023-07-14,5044.03487569
2023-07-14,5200
2023-07-14,5519.99881752
2023-07-14,5539.99955
2023-07-15,7644.84498248
2023-07-15,8599.84595547
2023-07-17,7450.8255721
2023-07-17,8100.25059661
2023-07-17,8105.48595547
2023-07-18,4000
2023-07-18,4199.99982972
2023-07-18,7115.72577067
2023-07-18,7450.82595547
2023-07-19,4434.52083027
2023-07-19,4451
2023-07-19,4451.00004125
2023-07-19,4451.45819146
2023-07-19,5931.63203723
2023-07-19,5936.29861202
2023-07-19,6490.52577067
2023-07-19,7115.72595547
2023-07-20,5982.52561227
2023-07-20,6490.52595547
2023-07-20,6500.00957049
2023-07-20,6510.00961069
2023-07-20,6535.00963724
2023-07-21,4949.52563867
2023-07-21,4988.992005
2023-07-21,5471.52561227
2023-07-21,5471.52595547
2023-07-21,5699.9985816
2023-07-21,5709.99955
2023-07-21,5982.52595547
2023-07-21,6988.99204514
2023-07-21,14159.95
2023-07-21,14159.95009625
2023-07-23,7690.40361704
2023-07-23,7692.40369286
2023-07-24,4634.28959907
2023-07-24,5289.40053307
2023-07-24,5289.40095547
2023-07-24,5657.99848809
2023-07-24,5707.99955
2023-07-24,5974.62126554
2023-07-24,5974.62295547
2023-07-24,6651.95595547
2023-07-25,4013.06981027
2023-07-25,4634.28995547
2023-07-27,3750.9999371
2023-07-27,3750.99998048
2023-07-27,4049.61359457
2023-07-27,4712.97995547
2023-07-27,4852.60761884
2023-07-28,4049.61395547
2023-07-28,4842.60757384
2023-07-28,4852.60761884
2023-07-28,5642.99921466
2023-07-28,5667.99955
2023-07-29,4580.44221363
2023-07-29,5281.44242483
2023-07-31,3804.54339555
2023-07-31,4306.76401007
2023-07-31,4636.60753259
2023-07-31,4842.60757384
2023-08-01,3804.54401007
2023-08-01,5943.36785377
2023-08-01,5948.88820031
2023-08-02,5000
2023-08-02,5000.00011655
2023-08-02,5912.32155721
2023-08-02,5943.36807733
2023-08-02,6783.84254267
2023-08-02,6798.84282212
2023-08-02,6830
2023-08-08,4000
2023-08-08,4000.00025641
2023-08-08,5627.9991822
2023-08-08,5667.99883636
2023-08-08,5667.9996046
2023-08-08,5682.9996046
2023-08-09,3935.24257619
2023-08-09,4589.48401007
2023-08-09,5500
2023-08-10,3935.24401007
2023-08-10,5000
2023-08-10,5617.9992878
2023-08-10,5627.9996046
2023-08-11,5000
2023-08-11,6056.55105033
2023-08-11,6060.60301405
2023-08-14,3872.38266087
2023-08-14,4377.43401007
2023-08-14,5000
2023-08-14,10798.9383
2023-08-14,10798.9383777
2023-08-15,5000
2023-08-16,3872.38301007
2023-08-16,4666.27019161
2023-08-16,4666.27021438
2023-08-16,4666.27521438
2023-08-16,5000
2023-08-16,6770.72387757
2023-08-16,6774.63955053
2023-08-17,5000
2023-08-17,6041.4291395
2023-08-17,6291.43
2023-08-18,3841.29730657
2023-08-18,5619.90907
2023-08-18,5891.4291063
2023-08-18,6041.4291395
2023-08-18,23348.93776918
2023-08-18,23798.9383
2023-08-21,6061.88019945
2023-08-21,6065.17171967
2023-08-22,4176.16161087
2023-08-22,5119.9088941
2023-08-22,5219.9090601
2023-08-22,5619.90907
2023-08-22,7688.40360143
2023-08-22,7690.40361704
2023-08-23,4000
2023-08-23,4000.000357
2023-08-23,4717.99626549
2023-08-23,4800
2023-08-23,22613.9381152
2023-08-23,23348.9383
2023-08-24,4000
2023-08-24,4000.000185
2023-08-24,4000.001482
2023-08-24,6732.97687473
2023-08-24,6770.72387757
2023-08-25,3799.99996368
2023-08-25,4800
2023-08-25,5140.8899678
2023-08-25,5140.89002126
2023-08-28,5345.92992018
2023-08-28,5345.92997364
2023-08-28,5537.650011
2023-08-28,5537.65006446
2023-08-29,3799.99996368
2023-08-29,5057.98430131
2023-08-29,5057.98431508
2023-08-29,5360.28527277
2023-08-29,5360.28528654
2023-08-29,5962.99879769
2023-08-29,5982.9996046
2023-08-29,6157.9658684
2023-08-29,6157.96593173
2023-08-30,3820.52773
2023-08-30,3900.527762
2023-08-30,3900.827793
2023-08-30,3900.82882381
2023-08-30,5232.4043544
2023-08-30,5445.2728
2023-08-30,5952.999433
2023-08-30,5962.9996046
2023-08-30,21978.9381152
2023-08-30,22613.9383
2023-08-31,5932.9993538
2023-08-31,5952.9996046
2023-09-01,4000
2023-09-01,6166.87530418
2023-09-01,6172.14041725
2023-09-05,4327.76164973
2023-09-05,4988.76363738
2023-09-05,6770.52433965
2023-09-05,6785.11404535
2023-09-06,5755
2023-09-06,6703.67116171
2023-09-06,6732.97687473
2023-09-06,16223.93797
2023-09-06,21978.9383
2023-09-07,5994.99909934
2023-09-07,6014.9996046
2023-09-07,6142.764783
2023-09-07,6166.8757132
2023-09-09,5979.9991822
2023-09-09,5994.9996046
2023-09-12,6158.86027438
2023-09-12,6163.42711644
2023-09-14,3994.85211256
2023-09-14,4000
2023-09-14,6866.06945795
2023-09-14,7398.66955554
2023-09-15,4000
2023-09-15,5919.999367
2023-09-15,5969.999301
2023-09-15,5969.9996046
2023-09-15,5979.9996046
2023-09-15,12899.97282986
2023-09-15,12949.9765861
2023-09-16,5351.5206796
2023-09-16,5369.96853055
2023-09-18,5889.9992086
2023-09-18,5919.9996046
2023-09-19,3999.99781974
2023-09-19,3999.99791776
2023-09-20,4000
2023-09-20,4000.681541
2023-09-20,5869.9990766
2023-09-20,5889.9996046
2023-09-21,4077.6165012
2023-09-21,4377.61719051
2023-09-21,4490.06340984
2023-09-21,5243.07851007
2023-09-21,5839.999103
2023-09-21,5869.9996046
2023-09-22,3777.61666251
2023-09-22,4077.61719051
2023-09-23,3777.61719051
2023-09-23,4035.689
2023-09-23,4035.69267914
2023-09-23,6959
2023-09-23,6959.00621078
2023-09-23,7686.40354791
2023-09-23,7688.40360143
2023-09-23,9433
2023-09-23,9433.00621078
2023-09-24,5834.9990766
