date,price,moving_avg_30
2022-01-01,47155.48,47155.480000
2022-01-02,47257.34,47206.410000
2022-01-03,46817.29,47076.703333
2022-01-04,46417.82,46911.982500
2022-01-05,45880.23,46705.632000
2022-01-06,43136.87,46110.838333
2022-01-07,42003.93,45524.137143
2022-01-08,41729.13,45049.761250
2022-01-09,41924.77,44702.540000
2022-01-10,41636.99,44395.985000
2022-01-11,42207.18,44197.002727
2022-01-12,43230.64,44116.472500
2022-01-13,43412.92,44062.353077
2022-01-14,42787.91,43971.321429
2022-01-15,43149.39,43916.526000
2022-01-16,43107.41,43865.956250
2022-01-17,42569.93,43789.719412
2022-01-18,41972.75,43688.776667
2022-01-19,41907.87,43595.044737
2022-01-20,42203.50,43525.467500
2022-01-21,38585.58,43290.234762
2022-01-22,35499.77,42936.122727
2022-01-23,35439.11,42610.165652
2022-01-24,35152.20,42299.417083
2022-01-25,36528.54,42068.582000
2022-01-26,37516.83,41893.514615
2022-01-27,36394.29,41689.839630
2022-01-28,37080.01,41525.202857
2022-01-29,37829.22,41397.755172
2022-01-30,37952.08,41282.899333
2022-01-31,37582.65,40963.805000
2022-02-01,38564.25,40674.035333
2022-02-02,38027.45,40381.040667
2022-02-03,36827.34,40061.358000
2022-02-04,38737.38,39823.263000
2022-02-05,41507.90,39768.964000
2022-02-06,41603.35,39755.611333
2022-02-07,43152.12,39803.044333
2022-02-08,43899.05,39868.853667
2022-02-09,43950.08,39945.956667
2022-02-10,44300.83,40015.745000
2022-02-11,43184.81,40014.217333
2022-02-12,42360.13,39979.124333
2022-02-13,42345.71,39964.384333
2022-02-14,42251.41,39934.451667
2022-02-15,43927.74,39961.796000
2022-02-16,43970.70,40008.488333
2022-02-17,42601.45,40029.445000
2022-02-18,40427.48,39980.098667
2022-02-19,40077.77,39909.241000
2022-02-20,38745.75,39914.580000
2022-02-21,38480.93,40013.952000
2022-02-22,37482.20,40082.055000
2022-02-23,38198.81,40183.608667
2022-02-24,36181.68,40172.046667
2022-02-25,38867.67,40217.074667
2022-02-26,39218.21,40311.205333
2022-02-27,38701.47,40365.254000
2022-02-28,39489.40,40420.593333
2022-03-01,43653.39,40610.637000
2022-03-02,44032.18,40825.621333
2022-03-03,43080.35,40976.158000
2022-03-04,40923.91,41072.706667
2022-03-05,39183.47,41151.244333
2022-03-06,39039.33,41161.309333
2022-03-07,38250.13,41052.717000
2022-03-08,38655.33,40954.449667
2022-03-09,41591.29,40902.422000
2022-03-10,39596.11,40758.990667
2022-03-11,38972.94,40593.086000
2022-03-12,39108.35,40420.003333
2022-03-13,38864.33,40275.987333
2022-03-14,38773.20,40156.423000
2022-03-15,39009.29,40045.209000
2022-03-16,40250.06,39978.497333
2022-03-17,40904.22,39877.713333
2022-03-18,40974.29,39777.833000
2022-03-19,41870.72,39753.475333
2022-03-20,41605.66,39792.748000
2022-03-21,41109.51,39827.139333
2022-03-22,42454.37,39950.760000
2022-03-23,42287.46,40077.644333
2022-03-24,43357.52,40273.488333
2022-03-25,44290.34,40476.539333
2022-03-26,44391.39,40750.196333
2022-03-27,44999.02,40954.574667
2022-03-28,47300.78,41223.993667
2022-03-29,47543.79,41518.737667
2022-03-30,47239.75,41777.082667
2022-03-31,46658.60,41877.256333
2022-04-01,45572.78,41928.609667
2022-04-02,46476.77,42041.823667
2022-04-03,46337.22,42222.267333
2022-04-04,46061.53,42451.536000
2022-04-05,46321.46,42694.273667
2022-04-06,44613.62,42906.390000
2022-04-07,43468.98,43066.845000
2022-04-08,43296.27,43123.677667
2022-04-09,42482.69,43219.897000
2022-04-10,42741.96,43345.531000
2022-04-11,41209.81,43415.579667
2022-04-12,39983.47,43452.884333
2022-04-13,40491.56,43510.163000
2022-04-14,40679.03,43565.821000
2022-04-15,40253.99,43565.952000
2022-04-16,40398.91,43549.108333
2022-04-17,40306.29,43526.841667
2022-04-18,39684.38,43453.963667
2022-04-19,41061.12,43435.812333
2022-04-20,41462.21,43447.569000
2022-04-21,41674.84,43421.584667
2022-04-22,40136.65,43349.891000
2022-04-23,39672.48,43227.056333
2022-04-24,39640.75,43072.070000
2022-04-25,39262.45,42901.105333
2022-04-26,39638.96,42722.436667
2022-04-27,38847.46,42440.659333
2022-04-28,39614.70,42176.356333
2022-04-29,39059.33,41903.675667
2022-04-30,38498.26,41631.664333
2022-05-01,38087.82,41382.165667
2022-05-02,38676.38,41122.152667
2022-05-03,38254.32,40852.722667
2022-05-04,38869.41,40612.985333
2022-05-05,38393.99,40348.736333
2022-05-06,36157.63,40066.870000
2022-05-07,35858.63,39813.191667
2022-05-08,34546.23,39521.523667
2022-05-09,32595.86,39191.962667
2022-05-10,31349.62,38812.218000
2022-05-11,30500.37,38455.236667
2022-05-12,28457.19,38071.027333
2022-05-13,30174.60,37727.128667
2022-05-14,29403.93,37351.292000
2022-05-15,30140.09,37014.162000
2022-05-16,29948.48,36665.814333
2022-05-17,30292.30,36332.014667
2022-05-18,29560.59,35994.555000
2022-05-19,29575.50,35611.701000
2022-05-20,29790.46,35222.642667
2022-05-21,29342.95,34811.579667
2022-05-22,29800.81,34467.051667
2022-05-23,30058.81,34146.596000
2022-05-24,29310.85,33802.266000
2022-05-25,29751.31,33485.228000
2022-05-26,29437.85,33145.191000
2022-05-27,28878.09,32812.878667
2022-05-28,28897.68,32455.644667
2022-05-29,29137.26,32124.909000
2022-05-30,30628.21,31862.574000
2022-05-31,31703.38,31649.759333
2022-06-01,31052.29,31395.623000
2022-06-02,30048.47,31122.094667
2022-06-03,29977.38,30825.693667
2022-06-04,29697.77,30535.819667
2022-06-05,29812.40,30324.312000
2022-06-06,31273.02,30171.458333
2022-06-07,29957.62,30018.504667
2022-06-08,30441.27,29946.685000
2022-06-09,30251.10,29910.067667
2022-06-10,29640.04,29881.390000
2022-06-11,28852.69,29894.573333
2022-06-12,27602.50,29808.836667
2022-06-13,24087.85,29631.634000
2022-06-14,22190.72,29366.655000
2022-06-15,21412.82,29082.133000
2022-06-16,21404.46,28785.871667
2022-06-17,20702.88,28490.614667
2022-06-18,19303.00,28148.198000
2022-06-19,19322.51,27799.266333
2022-06-20,20327.16,27498.740000
2022-06-21,21019.61,27206.033333
2022-06-22,20297.16,26880.645000
2022-06-23,20545.58,26588.469333
2022-06-24,21080.69,26299.448667
2022-06-25,21269.89,26027.183333
2022-06-26,21371.58,25776.966333
2022-06-27,21045.80,25515.237000
2022-06-28,20701.91,25234.058667
2022-06-29,20141.51,24884.502000
2022-06-30,19362.00,24473.122667
2022-07-01,19529.38,24089.025667
2022-07-02,19235.56,23728.595333
2022-07-03,19164.63,23368.170333
2022-07-04,19524.12,23029.048667
