date,Value,tx_id
2023-06-19,117351.05645141,ae0d9885cd3d688e0293d50af8bdf873e14d94d0240e854fa7592cff20bc2e41
2024-03-06,115177.38828023,0ecdda38bf2c7f32be5fecbd975914298bd4b9f2b384dc9b7cdb310d57b83301
2023-06-19,115177.38828023,ae0d9885cd3d688e0293d50af8bdf873e14d94d0240e854fa7592cff20bc2e41
2024-03-23,94504.03465148,a9a5a03a4f3f185f11b775578500ad7453d1c376126f2e7469eb206e60432abd
2024-03-23,87051.03465148,3ca2188e9805310b0cc9d57b2fb800efeb74a6eeb6f616bac864f887fe4e74c1
2024-03-23,87051.03465148,a9a5a03a4f3f185f11b775578500ad7453d1c376126f2e7469eb206e60432abd
2024-03-23,78317.0346246,3ca2188e9805310b0cc9d57b2fb800efeb74a6eeb6f616bac864f887fe4e74c1
2024-03-06,75177.38814162,0ecdda38bf2c7f32be5fecbd975914298bd4b9f2b384dc9b7cdb310d57b83301
2023-11-09,40041.05259302,a3d86d98c26fca84f5eec7bb583e1c88879b1ce6f6b60826676d422e5c91d71e
2024-03-06,40000,0ecdda38bf2c7f32be5fecbd975914298bd4b9f2b384dc9b7cdb310d57b83301
2024-01-31,35049.65031794,4dcdf324cb586cab30e205695ccfbb77aeb670c01c78e70d3d84b335bdf1bad9
2024-01-31,35049.65024414,c00534d715fb9c5135ba23f06deca4b5027cc7c8b5afe1b7d0edcd78afd1ce08
2024-01-31,35049.65024414,4dcdf324cb586cab30e205695ccfbb77aeb670c01c78e70d3d84b335bdf1bad9
2024-01-31,34300,c00534d715fb9c5135ba23f06deca4b5027cc7c8b5afe1b7d0edcd78afd1ce08
2024-04-02,30174.70351868,9c3af4b48e66565f1da1da8278036fa1dbb09f2beaaca99c3504475390ba4590
2024-04-02,30174.70249604,b614dd2e0fa06d776ee4d45973fab5ceb6e2dfebfb84e5f7bd45ef0975455240
2024-04-02,30174.70249604,9c3af4b48e66565f1da1da8278036fa1dbb09f2beaaca99c3504475390ba4590
2023-12-26,30041.0523339,4a9f31e53fd5b85146f41bf9260e6d001dfc1e81fe00930a4ee40531b15e7fab
2023-11-09,30041.0523339,a3d86d98c26fca84f5eec7bb583e1c88879b1ce6f6b60826676d422e5c91d71e
2023-12-26,30000,4a9f31e53fd5b85146f41bf9260e6d001dfc1e81fe00930a4ee40531b15e7fab
2023-09-15,12949.9765861,66e75ebd1ab0ef9b4eab615908403983e2bd0874804c884ab7d321ce381be9dc
2023-10-17,12932.73659156,bdc882e35f0efc5f7aa37bb4b0075fe29ca7447deb14fed1dedd77f8f62217ef
2023-09-15,12899.97282986,66e75ebd1ab0ef9b4eab615908403983e2bd0874804c884ab7d321ce381be9dc
2023-10-18,12892.73659156,c9e9fe152ac823e11ecd0a9078224af1f653690a3571e5b881311f776daa80a4
2023-10-17,12892.73574421,bdc882e35f0efc5f7aa37bb4b0075fe29ca7447deb14fed1dedd77f8f62217ef
2024-02-14,12886.59799675,ada36ec63de74e666cde75128b61b4f3e9cd0d57421f432d5519104a3aab77f6
2024-02-14,12886.59786827,116d465ad2f3e8195b73413e62fee88a6f37a662d8deff5b8e9c500df230db37
2023-10-20,12883.27659156,83eb97852548c55ffb19b438f518549893134006d765c3af213c2464e23f093f
2023-05-12,12863.23213873,7cfc79bfe88660951c0bb2f142d31e056f215ae0a87322002df0ee1b55e0f985
2023-05-11,12863.22401605,5ddc69789772c7e3e3b506786141f7eb9f0d37aad2b4a6ae2d348ea14f8444b9
2023-10-18,12845.73634076,c9e9fe152ac823e11ecd0a9078224af1f653690a3571e5b881311f776daa80a4
2023-06-19,12826.33200666,ae0d9885cd3d688e0293d50af8bdf873e14d94d0240e854fa7592cff20bc2e41
2023-09-30,12824.9765861,27bcd97aa329dcfc33108d102bcbec28108fbfcbf45c21bf9f2201deecd3f92f
2023-09-28,12824.9760272,c53fa73ac889df81bd229caa8637b20d5024f7ea2d43ea7a5a1b4dcc247e9c53
2023-10-23,12794.27659156,7bd09736e04df4082ddba6d09626210e91504de0ea361e17541531fb27ba3a82
2023-10-20,12794.27629348,83eb97852548c55ffb19b438f518549893134006d765c3af213c2464e23f093f
2023-10-28,12786.19659156,ff5b4e7195b71283ce36f9f89828d667b6e10b397e4cc00d4b28e86e8eb31c74
2023-10-25,12767.27659156,1e1a2dd620a36fcefa64a41eefdfb6640c7b223e09a3dd57e7163c5ea213e066
2023-10-23,12767.27644636,7bd09736e04df4082ddba6d09626210e91504de0ea361e17541531fb27ba3a82
2023-10-28,12753.19610718,ff5b4e7195b71283ce36f9f89828d667b6e10b397e4cc00d4b28e86e8eb31c74
2024-03-20,3763.25662184,ec428d3b83fb65f03b59c2bb122ab687773e873735ae5513eb814507485f25af
