week,weekly_volume
2022-09-23,299807.53
2022-09-24,213908.05
2022-09-25,199666.70
2022-09-26,275588.19
2022-09-27,330280.03
2022-09-28,268901.31
2022-09-29,288555.94
2022-09-30,324496.19
2022-10-01,237985.47
2022-10-02,173699.11
2022-10-03,222178.94
2022-10-04,204977.28
2022-10-05,185336.14
2022-10-06,204732.81
2022-10-07,209359.88
2022-10-08,130255.09
2022-10-09,115407.59
2022-10-10,156311.58
2022-10-11,168736.56
2022-10-12,180367.91
2022-10-13,281728.13
2022-10-14,292016.97
2022-10-15,177975.02
2022-10-16,157423.20
2022-10-17,253773.08
2022-10-18,325187.44
2022-10-19,321446.56
2022-10-20,244715.52
2022-10-21,224834.30
2022-10-22,177911.66
2022-10-23,149655.38
2022-10-24,231066.94
2022-10-25,332900.03
2022-10-26,483810.69
2022-10-27,357698.75
2022-10-28,382346.81
2022-10-29,304821.22
2022-10-30,263701.75
2022-10-31,316035.00
2022-11-01,306506.91
2022-11-02,340988.78
2022-11-03,383139.84
2022-11-04,407829.44
2022-11-05,341862.84
2022-11-06,292049.63
2022-11-07,329673.81
2022-11-08,426508.34
2022-11-09,430323.72
2022-11-10,414088.72
2022-11-11,374550.44
2022-11-12,272523.84
2022-11-13,272021.56
2022-11-14,376916.00
2022-11-15,611839.13
2022-11-16,592927.88
2022-11-17,574050.50
2022-11-18,732033.13
2022-11-19,450542.19
2022-11-20,322790.56
2022-11-21,407358.00
2022-11-22,428392.31
2022-11-23,475369.38
2022-11-24,464281.78
2022-11-25,446611.63
2022-11-26,391859.53
2022-11-27,294236.47
2022-11-28,371817.09
2022-11-29,381724.69
2022-11-30,459621.88
2022-12-01,500510.78
2022-12-02,489206.97
2022-12-03,392477.38
2022-12-04,287878.75
2022-12-05,366053.34
2022-12-06,382363.75
2022-12-07,309406.56
2022-12-08,252132.77
2022-12-09,236507.48
2022-12-10,210473.63
2022-12-11,140566.44
2022-12-12,214778.63
2022-12-13,231656.69
2022-12-14,270487.63
2022-12-15,357751.53
2022-12-16,282272.56
2022-12-17,291124.84
2022-12-18,193894.33
2022-12-19,301384.59
2022-12-20,303446.78
2022-12-21,278253.38
2022-12-22,287460.28
2022-12-23,292482.59
2022-12-24,297074.19
2022-12-25,230598.34
2022-12-26,295590.88
2022-12-27,400201.94
2022-12-28,344057.31
2022-12-29,341645.56
2022-12-30,360534.31
2022-12-31,201869.91
2023-01-01,117794.74
2023-01-02,147357.52
2023-01-03,212309.19
2023-01-04,248646.94
2023-01-05,240227.03
2023-01-06,222146.39
2023-01-07,142263.69
2023-01-08,114987.82
2023-01-09,187523.38
2023-01-10,193121.80
2023-01-11,216969.16
2023-01-12,304361.66
2023-01-13,317989.53
2023-01-14,291735.34
2023-01-15,165854.36
2023-01-16,216777.22
2023-01-17,274819.81
2023-01-18,339417.38
2023-01-19,338982.63
2023-01-20,419060.00
2023-01-21,373816.78
2023-01-22,313410.28
2023-01-23,341134.91
2023-01-24,388877.88
2023-01-25,294122.41
2023-01-26,279093.44
2023-01-27,329712.28
2023-01-28,267490.31
2023-01-29,198592.69
2023-01-30,261736.84
2023-01-31,428251.81
2023-02-01,512365.06
2023-02-02,520540.50
2023-02-03,571260.13
2023-02-04,476371.66
2023-02-05,323666.44
2023-02-06,422539.53
2023-02-07,510523.88
2023-02-08,424354.53
2023-02-09,485977.44
2023-02-10,584195.13
2023-02-11,481770.53
2023-02-12,420563.84
2023-02-13,525806.56
2023-02-14,567198.81
2023-02-15,803719.38
2023-02-16,768828.88
2023-02-17,642414.75
2023-02-18,491028.13
2023-02-19,379398.69
2023-02-20,440875.44
2023-02-21,426810.56
2023-02-22,442806.81
2023-02-23,458681.16
2023-02-24,436827.53
2023-02-25,368117.88
2023-02-26,350514.41
2023-02-27,530799.50
2023-02-28,604228.88
2023-03-01,609572.75
2023-03-02,560543.13
2023-03-03,626800.00
2023-03-04,451102.13
2023-03-05,393214.94
2023-03-06,539190.00
2023-03-07,572820.44
2023-03-08,579145.56
2023-03-09,957826.94
2023-03-10,878321.50
2023-03-11,551997.63
2023-03-12,441922.84
2023-03-13,605734.50
2023-03-14,928746.75
2023-03-15,828816.88
2023-03-16,829885.44
2023-03-17,1128261.25
2023-03-18,959829.19
2023-03-19,789861.75
2023-03-20,832124.25
2023-03-21,813666.63
2023-03-22,996794.94
2023-03-23,1093726.38
2023-03-24,1244898.13
2023-03-25,846184.19
2023-03-26,608835.38
2023-03-27,638511.31
2023-03-28,758074.88
2023-03-29,775825.31
2023-03-30,780896.06
2023-03-31,920984.19
2023-04-01,897805.63
2023-04-02,692698.00
2023-04-03,776708.75
2023-04-04,950774.88
2023-04-05,908066.38
2023-04-06,922394.75
2023-04-07,755049.00
2023-04-08,613562.31
2023-04-09,474157.25
2023-04-10,623951.00
2023-04-11,935716.50
2023-04-12,738979.25
2023-04-13,784860.69
2023-04-14,847586.38
2023-04-15,644548.63
2023-04-16,483820.13
2023-04-17,618503.75
2023-04-18,610277.00
2023-04-19,616532.94
2023-04-20,608078.63
2023-04-21,673703.06
2023-04-22,449744.88
2023-04-23,377288.50
2023-04-24,564634.00
2023-04-25,736224.94
2023-04-26,957255.63
2023-04-27,1219611.00
2023-04-28,1345757.75
2023-04-29,1255459.38
2023-04-30,1399608.00
2023-05-01,1966232.13
2023-05-02,3242382.00
2023-05-03,3544640.25
2023-05-04,3287913.75
2023-05-05,3957340.50
2023-05-06,5308573.50
2023-05-07,11674269.00
2023-05-08,17757214.00
2023-05-09,12153889.00
2023-05-10,9422705.00
2023-05-11,5299476.00
2023-05-12,4592617.00
2023-05-13,2919460.50
2023-05-14,2375682.00
2023-05-15,2458065.00
2023-05-16,3059725.75
2023-05-17,2515869.50
2023-05-18,2894987.00
2023-05-19,3133362.75
2023-05-20,2294735.75
2023-05-21,1927974.38
2023-05-22,1903468.38
2023-05-23,1900395.75
2023-05-24,1724770.63
2023-05-25,2418390.25
2023-05-26,2599196.00
2023-05-27,1659008.88
2023-05-28,1709756.75
2023-05-29,1980510.38
2023-05-30,2218723.50
2023-05-31,1865034.88
2023-06-01,1889078.75
2023-06-02,2023808.00
2023-06-03,1200699.75
2023-06-04,1046123.06
2023-06-05,1520579.88
2023-06-06,2169731.00
2023-06-07,2606145.00
2023-06-08,1841356.75
2023-06-09,1943209.25
2023-06-10,1282865.88
2023-06-11,906942.69
2023-06-12,1099755.88
2023-06-13,967720.69
2023-06-14,1030076.06
2023-06-15,1029609.25
2023-06-16,1177594.88
2023-06-17,1061536.88
2023-06-18,808437.69
2023-06-19,828672.94
2023-06-20,1013942.44
2023-06-21,1293187.38
2023-06-22,1337144.75
2023-06-23,1219245.00
2023-06-24,1034015.75
2023-06-25,899699.63
2023-06-26,980438.56
2023-06-27,966845.69
2023-06-28,904943.13
2023-06-29,1127984.63
2023-06-30,1060550.88
2023-07-01,776143.88
2023-07-02,726619.38
2023-07-03,786275.63
2023-07-04,703074.00
2023-07-05,657424.25
2023-07-07,581357.50
2023-07-08,445640.00
2023-07-09,399174.66
2023-07-10,491923.66
2023-07-11,517141.19
2023-07-12,589898.06
2023-07-13,606283.88
2023-07-14,704112.06
2023-07-15,507550.03
2023-07-16,467645.75
2023-07-17,519612.28
2023-07-18,571658.63
2023-07-19,544643.31
2023-07-20,682253.56
2023-07-21,684829.19
2023-07-22,1372486.25
2023-07-23,765059.25
2023-07-24,777792.00
2023-07-25,521046.63
2023-07-26,550819.19
2023-07-28,595836.50
2023-07-29,473557.81
2023-07-30,502060.59
2023-07-31,488526.50
2023-08-01,535905.31
2023-08-02,614148.38
2023-08-03,678042.56
2023-08-05,612766.50
2023-08-06,490989.88
2023-08-07,659065.19
2023-08-08,859316.69
2023-08-09,804320.44
2023-08-10,725826.13
2023-08-11,689581.69
