address,in_out,time,tx_id,value
38Xnrq8MZiKmYmwobbYdZQ5nnCbX1qvQfE,-1,2023-06-19 09:54:17,ae0d9885cd3d688e0293d50af8bdf873e14d94d0240e854fa7592cff20bc2e41,117351.05645141
39884E3j6KZj82FK4vcCrkUvWYL5MQaS3v,-1,2024-03-06 10:01:01,0ecdda38bf2c7f32be5fecbd975914298bd4b9f2b384dc9b7cdb310d57b83301,115177.38828023
39884E3j6KZj82FK4vcCrkUvWYL5MQaS3v,1,2023-06-19 09:54:17,ae0d9885cd3d688e0293d50af8bdf873e14d94d0240e854fa7592cff20bc2e41,115177.38828023
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,-1,2024-03-23 01:30:08,a9a5a03a4f3f185f11b775578500ad7453d1c376126f2e7469eb206e60432abd,94504.03465148
bc1qct3myskt9mrrvfgw7mqt6aupn82804crg0xxg7,-1,2024-03-23 01:55:58,3ca2188e9805310b0cc9d57b2fb800efeb74a6eeb6f616bac864f887fe4e74c1,87051.03465148
bc1qct3myskt9mrrvfgw7mqt6aupn82804crg0xxg7,1,2024-03-23 01:30:08,a9a5a03a4f3f185f11b775578500ad7453d1c376126f2e7469eb206e60432abd,87051.03465148
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,1,2024-03-23 01:55:58,3ca2188e9805310b0cc9d57b2fb800efeb74a6eeb6f616bac864f887fe4e74c1,78317.0346246
3E97AjYaCq9QYnfFMtBCYiCEsN956Rvpj2,1,2024-03-06 10:01:01,0ecdda38bf2c7f32be5fecbd975914298bd4b9f2b384dc9b7cdb310d57b83301,75177.38814162
38DN2uFMZPiHLHJigfv4kWC9JWJrNnhLcn,-1,2023-11-09 09:06:08,a3d86d98c26fca84f5eec7bb583e1c88879b1ce6f6b60826676d422e5c91d71e,40041.05259302
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,1,2024-03-06 10:01:01,0ecdda38bf2c7f32be5fecbd975914298bd4b9f2b384dc9b7cdb310d57b83301,40000.0
bc1qyfprtlaq55ecdtnpkj6vl8y4azxvtjuky4yrag,-1,2024-01-31 19:59:07,4dcdf324cb586cab30e205695ccfbb77aeb670c01c78e70d3d84b335bdf1bad9,35049.65031794
bc1qxxg454h46lgx7g98jgmc0zvzfmvkwwm0ewxpud,-1,2024-01-31 20:27:51,c00534d715fb9c5135ba23f06deca4b5027cc7c8b5afe1b7d0edcd78afd1ce08,35049.65024414
bc1qxxg454h46lgx7g98jgmc0zvzfmvkwwm0ewxpud,1,2024-01-31 19:59:07,4dcdf324cb586cab30e205695ccfbb77aeb670c01c78e70d3d84b335bdf1bad9,35049.65024414
bc1qweqmu6ldhndrz6f3x2fxjry3hx030vfmd4np2w,1,2024-01-31 20:27:51,c00534d715fb9c5135ba23f06deca4b5027cc7c8b5afe1b7d0edcd78afd1ce08,34300.0
bc1qf2yvj48mzkj7uf8lc2a9sa7w983qe256l5c8fs,-1,2024-04-02 16:14:20,9c3af4b48e66565f1da1da8278036fa1dbb09f2beaaca99c3504475390ba4590,30174.70351868
bc1qky5fngatjzn7eflh5aajrdlstkmst38d2au478,-1,2024-04-02 16:59:19,b614dd2e0fa06d776ee4d45973fab5ceb6e2dfebfb84e5f7bd45ef0975455240,30174.70249604
bc1qky5fngatjzn7eflh5aajrdlstkmst38d2au478,1,2024-04-02 16:14:20,9c3af4b48e66565f1da1da8278036fa1dbb09f2beaaca99c3504475390ba4590,30174.70249604
3F9CGMu7JSJnMHA8jFM2KgxuH6hhxtvENP,-1,2023-12-26 10:12:19,4a9f31e53fd5b85146f41bf9260e6d001dfc1e81fe00930a4ee40531b15e7fab,30041.0523339
3F9CGMu7JSJnMHA8jFM2KgxuH6hhxtvENP,1,2023-11-09 09:06:08,a3d86d98c26fca84f5eec7bb583e1c88879b1ce6f6b60826676d422e5c91d71e,30041.0523339
